url,brand,catalog_number,ids
,Morse,50XLO 10 FT,2294905
,Morse,10B-2 C/L SC,2294929
,Morse,08B-3 C/L SC,2294925
,Morse,12B-1 C/L SC,2294933
,Morse,06B-2 C/L SC,2294917
,Morse,12B-3 C/L SC,2294937
,Morse,08B-1 C/L SC,2294921
,Morse,25R 10 FT,2294909
,Morse,16B-2 O/L,2294941
,Morse,20B-1 O/L SC,2294945
,Morse,32B-2 C/L SC,2294957
,Morse,20B-3 O/L SC,2294949
,Morse,24B-2 O/L SC,2294953
,Morse,40 DELRIN 10 FT,2294969
,Morse,25 DELRIN 10 FT,2294961
,Morse,25B14 NYLATRON NB,2294977
,Morse,25B18 NYLATRON NB,2294981
,Morse,25B54 NYLATRON NB,2294993
,Morse,25B22 NYLATRON NB,2294985
,Morse,35 DELRIN 10 FT,2294965
,Morse,25B10 NYLATRON NB,2294973
,Morse,35B16 NYLATRON NB,2295001
,Morse,35B11 NYLATRON NB,2294997
,Morse,35B26 NYLATRON NB,2295005
http://edge.regalpts.com/images/photos/offset%202p.jpg,Morse,25 O/L 2P,2294913
,Morse,40B12 NYLATRON NB,2295013
,Morse,25B30 NYLATRON NB,2294989
,Morse,06B-2 10FT,2295145
,Morse,08B-2 10FT,2295149
,Morse,12B-2 25 FT,2295161
,Morse,10B-3 10FT,2295157
,Morse,20B-3 10 FT,2295169
,Morse,40B32 NYLATRON NB,2295017
,Morse,16B-2 10 FT,2295165
,Morse,100 B1 C/L C/P S/F,2295181
,Morse,10B-1 10FT,2295153
,Morse,35B40 NYLATRON NB,2295009
,Morse,120 B2 C/L C/P S/F,2295193
,Morse,100 S2 C/L C/P S/F,2295189
,Morse,32B-1 10 FT,2295173
,Morse,140 S1 C/L C/P S/F,2295205
,Morse,100 D1 C/L C/P S/F,2295185
,Morse,160 D3 C/L C/P S/F,2295213
,Morse,140 B2 C/L C/P S/F,2295201
,Morse,40-2 S2 C/L S/C S/F,2295241
,Morse,35 B1 C/L S/C S/F,2295217
,Morse,35 D1 C/L S/C S/F,2295221
,Morse,35 S2 C/L S/C S/F,2295225
,Morse,50 D3 C/L S/C S/F,2295257
,Morse,40 D3 C/L S/C S/F,2295233
,Morse,50 S2 R/L,2295261
,Morse,60 B2 R/L,2295269
,Morse,160 B1 R/L,2295209
,Morse,80 S2 R/L,2295285
http://edge.regalpts.com/images/photos/DRC5B.JPG,Morse,C60 24,2295177
,Morse,41 S1 R/L,2295249
,Morse,40 S2 R/L,2295237
,Morse,C2040 B22 R/L,2295293
,Morse,C2050 B21 C/L S/C S/F,2295309
,Morse,C2050 D1 C/L S/C S/F,2295313
,Morse,80 B1 R/L,2295277
,Morse,C2050 S12 R/L,2295317
,Morse,C2050 S22 R/L,2295321
,Morse,C2062H S11 R/L,2295345
,Morse,C2080H B12 C/L C/P S/F,2295350
,Morse,C2080H B22 C/L C/P S/F,2295354
,Morse,C2080H S11 C/L C/P S/F,2295358
,Morse,60 B1 C/L S/C S/F,2295265
,Morse,C2100H B11 R/L,2295370
,Morse,C2040 S21 R/L,2295301
,Morse,C2060H S11 R/L,2295337
,Morse,C2040 S11 R/L,2295297
,Morse,C2060H B22 R/L,2295333
,Morse,C2060H S21 R/L,2295341
,Morse,C2120H B12 C/L C/P S/F,2295390
,Morse,C2082H B21 R/L,2295366
,Morse,C2100H B21 R/L,2295374
,Morse,C2100H D3 C/L C/P S/F,2295378
,Morse,C2102H B21 R/L,2295386
,Morse,C2100H S12 R/L,2295382
,Morse,C2120H S12 C/L C/P S/F,2295398
,Morse,C2120H B22 R/L,2295394
,Morse,C2122H B22 R/L,2295406
,Morse,100R 100FT,2295426
,Morse,C2120H S22 C/L C/P S/F,2295402
,Morse,100H-2R 10FT,2295450
http://edge.regalpts.com/images/photos/RC-1C.jpg,Morse,60C 10FT,2295418
http://edge.regalpts.com/images/photos/RC-1.jpg,Morse,40R 250FT,2295410
http://edge.regalpts.com/images/photos/RC-2C.jpg,Morse,100-2C 10FT,2295438
http://edge.regalpts.com/images/photos/RC-4C.jpg,Morse,100H-4R 10FT,2295454
http://edge.regalpts.com/images/photos/RC-4C.jpg,Morse,100H-6R 10FT,2295458
http://edge.regalpts.com/images/photos/RC-1.jpg,Morse,40R 500FT,2295414
http://edge.regalpts.com/images/photos/RC-4C.jpg,Morse,100-6C 10FT,2295446
http://edge.regalpts.com/images/photos/RC-1.jpg,Morse,60R 100FT,2295422
http://edge.regalpts.com/images/photos/RC-4C.jpg,Morse,100-4C 10FT,2295442
http://edge.regalpts.com/images/photos/RC-2C.jpg,Morse,120-2C 10FT,2295466
http://edge.regalpts.com/images/photos/RC-1.jpg,Morse,80R 10FT,2295430
http://edge.regalpts.com/images/photos/RC-1.jpg,Morse,MT140R 10.21FT,2295434
http://edge.regalpts.com/images/photos/RC-2C.jpg,Morse,120H-2C 10FT,2295478
http://edge.regalpts.com/images/photos/RC-4C.jpg,Morse,120-4C 10FT,2295470
http://edge.regalpts.com/images/photos/RC-1.jpg,Morse,120R 10FT,2295490
http://edge.regalpts.com/images/photos/RC-4C.jpg,Morse,120H-4C 10FT,2295482
http://edge.regalpts.com/images/photos/RC-4C.jpg,Morse,140H-6R 10.21FT,2295514
http://edge.regalpts.com/images/photos/RC-4C.jpg,Morse,120H-6C 10FT,2295486
http://edge.regalpts.com/images/photos/RC-3C.jpg,Morse,140-3C 10.21FT,2295494
http://edge.regalpts.com/images/photos/RC-4C.jpg,Morse,120-6C 10FT,2295474
http://edge.regalpts.com/images/photos/RC-4C.jpg,Morse,160-5R 10FT,2295526
http://edge.regalpts.com/images/photos/RC-2.jpg,Morse,140H-2R 10.21FT,2295506
http://edge.regalpts.com/images/photos/RC-4C.jpg,Morse,140-5C 10.21FT,2295498
http://edge.regalpts.com/images/photos/RC-3.jpg,Morse,160-3R 10FT,2295522
http://edge.regalpts.com/images/photos/RC-3.jpg,Morse,160H-3R 10FT,2295534
http://edge.regalpts.com/images/photos/RC-1.jpg,Morse,140R 50.17FT,2295518
http://edge.regalpts.com/images/photos/RC-4C.jpg,Morse,140H-4R 10.21FT,2295510
http://edge.regalpts.com/images/photos/RC-4C.jpg,Morse,160H-5R 10FT,2295538
http://edge.regalpts.com/images/photos/RC-4C.jpg,Morse,140-8C 10.21FT,2295502
http://edge.regalpts.com/images/photos/RC-1.jpg,Morse,160HR 10FT,2295542
http://edge.regalpts.com/images/photos/RC-1C.jpg,Morse,200C 10FT,2295550
http://edge.regalpts.com/images/photos/RC-1C.jpg,Morse,160C 10FT,2295530
http://edge.regalpts.com/images/photos/RC-3.jpg,Morse,200H-3R 10FT,2295554
http://edge.regalpts.com/images/photos/RC-1.jpg,Morse,200HR 10FT,2295558
http://edge.regalpts.com/images/photos/RC-3C.jpg,Morse,200-3C 10FT,2295546
http://edge.regalpts.com/images/photos/RC-3.jpg,Morse,40-3R 10FT,2295562
http://edge.regalpts.com/images/photos/RC-4C.jpg,Morse,60-5C 10FT,2295578
http://edge.regalpts.com/images/photos/RC-1.jpg,Morse,8-160HR 10FT,2295602
http://edge.regalpts.com/images/photos/RC-2.jpg,Morse,60-2R 10FT,2295570
http://edge.regalpts.com/images/photos/RC-1.jpg,Morse,60HR 10FT,2295590
http://edge.regalpts.com/images/photos/RC-3C.jpg,Morse,80-3C 10FT,2295610
http://edge.regalpts.com/images/photos/RC-2.jpg,Morse,50-2R 50FT,2295566
http://edge.regalpts.com/images/photos/RC-2C.jpg,Morse,60H-2C 10FT,2295582
http://edge.regalpts.com/images/photos/RC-4C.jpg,Morse,80-8C 10FT,2295618
